Analyzing 89 skills...

Domain	Skill	Size	Aux	Refs (n/lines)	Chains	Verify	SubAgents	Est. Cost
------------------------------------------------------------------------
engineering	code-review-battery	249	0	0/0	9	1	20	83.9 (high)
engineering	subagent-driven-development	116	0	3/513	3	0	19	75.5 (high)
engineering	verification-before-completion	247	0	0/0	7	2	13	59.9 (high)
engineering	progressive-code-review-gate	194	0	0/0	10	0	12	59.8 (high)
productivity	think-twice	121	0	2/120	11	1	9	56.2 (high)
engineering	requesting-code-review	181	0	0/0	8	0	11	52.6 (high)
engineering	feature-development	181	0	0/0	17	0	5	52.6 (high)
productivity	thinking-orchestrator	152	0	0/0	17	0	5	52.0 (high)
productivity	plan-and-execute	250	0	6/628	10	1	2	44.5 (high)
engineering	debate	197	0	0/0	11	1	3	35.9 (high)
engineering	sp-bughunt	143	0	0/0	1	1	10	35.8 (high)
productivity	autonomous-chain-controller	128	0	0/0	16	0	0	34.5 (high)
engineering	progressive-harsh-review	200	0	0/0	9	1	3	32.0 (high)
engineering	brainstorming	120	0	3/498	5	0	3	31.3 (high)
engineering	debug-conductor	178	0	1/41	7	0	4	30.3 (high)
engineering	finishing-a-development-branch	151	0	0/0	6	3	4	30.0 (high)
wiki	wiki-refactor	100	0	7/757	5	0	0	27.1 (high)
engineering	investigation-state	164	0	4/564	6	0	0	26.5 (high)
writing	readme-authoring	166	0	3/147	9	0	0	24.2 (high)
engineering	systematic-debugging	117	0	0/0	9	0	1	23.3 (high)
writing	detecting-ai-slop	187	575	0/0	4	0	0	23.2 (high)
engineering	unified-commit-gate	184	0	0/0	8	0	1	22.6 (high)
writing	eliminating-ai-slop	106	371	0/0	6	0	0	21.5 (high)
engineering	test-driven-development	126	0	0/0	8	0	1	21.5 (high)
engineering	pre-commit-gate	154	0	0/0	9	0	0	21.0 (high)
writing	professional-language-audit	176	0	0/0	8	0	0	19.5 (high)
productivity	adversarial-search	108	0	0/0	7	3	0	19.1 (high)
issue-tracking	issue-comment-debunker	206	0	0/0	7	1	0	19.1 (high)
wiki	wiki-orchestrator	100	0	2/136	7	0	0	18.7 (high)
security	public-repo-ip-audit	120	0	0/0	8	0	0	18.4 (high)
productivity	skill-authoring	184	0	1/21	7	0	0	18.1 (high)
productivity	innovation	137	106	1/51	6	0	0	17.8 (high)
observability	exhaustive-audit-validation	190	0	0/0	7	0	0	17.8 (high)
productivity	golden-agents	184	0	1/182	5	0	0	17.3 (high)
observability	completeness-check	166	0	0/0	7	0	0	17.3 (high)
research	perplexity-research	146	0	2/94	3	0	2	16.8 (high)
productivity	todo-management	246	0	3/197	4	0	0	16.8 (high)
engineering	evidence-adjudicator	165	0	0/0	2	0	3	16.3 (high)
engineering	providing-code-review	210	0	0/0	6	0	0	16.2 (high)
writing	writing-skills	108	0	0/0	7	0	0	16.1 (high)
engineering	blast-radius-check	209	0	0/0	6	0	0	16.1 (high)
observability	holistic-repo-verification	151	0	0/0	6	1	0	16.0 (high)
engineering	output-verification	148	0	0/0	4	5	0	15.9 (high)
observability	superpowers-doctor	101	0	1/84	3	0	2	15.7 (high)
engineering	receiving-code-review	178	0	0/0	6	0	0	15.5 (high)
wiki	wiki-debunker	97	0	2/175	5	0	0	15.4 (high)
productivity	enforce-style-guide	158	0	0/0	6	0	0	15.1 (high)
engineering	reproduction-experiment-investigator	135	0	0/0	1	1	3	14.7 (medium)
wiki	link-verification	100	0	1/18	6	0	0	14.3 (medium)
observability	failure-autopsy	118	0	0/0	6	0	0	14.3 (medium)
issue-tracking	issue-verify	166	0	0/0	4	3	0	14.3 (medium)
engineering	micro-harsh-review	117	0	0/0	6	0	0	14.3 (medium)
productivity	code-review-respond	152	0	0/0	4	3	0	14.0 (medium)
productivity	domain-design	98	0	0/0	6	0	0	13.9 (medium)
engineering	llm-behavior-investigator	147	0	0/0	1	0	3	13.9 (medium)
writing	plan-quality-gates	193	0	0/0	5	0	0	13.8 (medium)
issue-tracking	issue-authoring	191	0	0/0	5	0	0	13.8 (medium)
experimental	experimental-self-prompting	186	0	0/0	3	4	0	13.7 (medium)
engineering	timeline-trace-investigator	138	0	0/0	1	0	3	13.7 (medium)
engineering	state-consistency-investigator	137	0	0/0	1	0	3	13.7 (medium)
engineering	infra-config-investigator	131	0	0/0	1	0	3	13.6 (medium)
issue-tracking	issue-editing	177	0	0/0	5	0	0	13.5 (medium)
engineering	field-rename-verification	173	0	0/0	5	0	0	13.4 (medium)
productivity	superpowers-help	156	0	0/0	5	0	0	13.1 (medium)
engineering	requirements-validation	150	0	0/0	5	0	0	13.0 (medium)
security	wiki-instruction-guard	153	0	1/141	3	1	0	12.8 (medium)
productivity	inter-agent-review-protocol	141	0	0/0	5	0	0	12.8 (medium)
writing	markdown-table-discipline	184	0	1/42	4	0	0	12.5 (medium)
issue-tracking	issue-link-verification	117	0	0/0	5	0	0	12.3 (medium)
productivity	quantitative-decision-gate	113	0	0/0	5	0	0	12.2 (medium)
observability	evolution-loop	105	0	0/0	5	0	0	12.1 (medium)
security	repo-security-scan	197	0	0/0	4	0	0	11.9 (medium)
