skill	path	lines	words	chars
code-review-battery	skills/engineering/code-review-battery/skill.md	249	2301	16388
subagent-driven-development	skills/engineering/subagent-driven-development/skill.md	116	740	5512
verification-before-completion	skills/engineering/verification-before-completion/skill.md	247	1940	12656
progressive-code-review-gate	skills/engineering/progressive-code-review-gate/skill.md	194	1277	8895
think-twice	skills/productivity/think-twice/skill.md	121	741	5354
requesting-code-review	skills/engineering/requesting-code-review/skill.md	181	1216	8204
feature-development	skills/engineering/feature-development/skill.md	181	1118	8042
thinking-orchestrator	skills/productivity/thinking-orchestrator/skill.md	152	1371	10194
plan-and-execute	skills/productivity/plan-and-execute/skill.md	250	1865	12713
debate	skills/engineering/debate/skill.md	197	1606	10427
sp-bughunt	skills/engineering/sp-bughunt/skill.md	143	954	6176
autonomous-chain-controller	skills/productivity/autonomous-chain-controller/skill.md	128	626	4176
progressive-harsh-review	skills/engineering/progressive-harsh-review/skill.md	200	1394	9732
brainstorming	skills/engineering/brainstorming/skill.md	120	758	5815
debug-conductor	skills/engineering/debug-conductor/skill.md	178	1127	8368
finishing-a-development-branch	skills/engineering/finishing-a-development-branch/skill.md	151	787	5465
wiki-refactor	skills/wiki/wiki-refactor/skill.md	100	653	5032
investigation-state	skills/engineering/investigation-state/skill.md	164	797	6592
readme-authoring	skills/writing/readme-authoring/skill.md	166	746	5376
systematic-debugging	skills/engineering/systematic-debugging/skill.md	117	782	5505
